geography_id,geography_label,geography_type,jurisdiction
1-692-ac-kerr-st-nw,1.692 AC KERR ST NW,screening area,
355-camden-ct-nw,355 CAMDEN CT NW,screening area,
5090-patterson-rd,5090 PATTERSON RD,screening area,
6595-hudspeth-rd,6595 HUDSPETH RD,screening area,
803-skyland-st-townhomes,803 SKYLAND ST TOWNHOMES,screening area,
85-exchange-phase-ii,85 EXCHANGE PHASE II,screening area,
airport,AIRPORT,screening area,
aquamarine,AQUAMARINE,screening area,
bethel-elementary-school,BETHEL ELEMENTARY SCHOOL,screening area,
biscayne-trinity-church,BISCAYNE / TRINITY CHURCH,screening area,
bonds-quarry,BONDS QUARRY,screening area,
brookwood-north,BROOKWOOD NORTH,screening area,
cabarrus-mcgill,CABARRUS/MCGILL,screening area,
carolina-ridge,CAROLINA RIDGE,screening area,
carolina-village,CAROLINA VILLAGE,screening area,
charlotte-motor-speedway,CHARLOTTE MOTOR SPEEDWAY,screening area,
christenbury-corners-ne-quadrant-ph-1,CHRISTENBURY CORNERS NE QUADRANT PH 1,screening area,
christenbury-se-corner,CHRISTENBURY SE CORNER,screening area,
concord-mills,CONCORD MILLS,screening area,
concord-parkway-south,CONCORD PARKWAY SOUTH,screening area,
conservation-easement,CONSERVATION EASEMENT,screening area,
downtown-concord,DOWNTOWN CONCORD,screening area,
embassy-suites-concord-convention-center,EMBASSY SUITES CONCORD CONVENTION CENTER,screening area,
harrisburg,HARRISBURG,screening area,
harrisburg-town-center,HARRISBURG TOWN CENTER,screening area,
hwy-24-27,HWY 24 / 27,screening area,
hwy-601-49,HWY 601 / 49,screening area,
i-85-at-lane-street,I-85 AT LANE STREET,screening area,
kannapolis-parkway,KANNAPOLIS PARKWAY,screening area,
kellswater-commons-apartments,KELLSWATER COMMONS APARTMENTS,screening area,
lake-don-t-howell,LAKE DON T. HOWELL,screening area,
lefler-estate,LEFLER ESTATE,screening area,
legacy-concord,LEGACY CONCORD,screening area,
lilly-concord,LILLY CONCORD,screening area,
little-est,LITTLE EST,screening area,
lt-4-and-lt-5-mb-71-41-45,LT 4 AND LT 5 MB 71/41-45,screening area,
miami-church-rd,MIAMI CHURCH RD,screening area,
midland-commercial,MIDLAND COMMERCIAL,screening area,
mount-huntington,MOUNT HUNTINGTON,screening area,
mt-pleasant-commercial,MT PLEASANT COMMERCIAL,screening area,
mt-pleasant-high-school,MT PLEASANT HIGH SCHOOL,screening area,
mt-pleasant-outside,MT PLEASANT OUTSIDE,screening area,
ncrc-kannapolis-downtown,NCRC/KANNAPOLIS DOWNTOWN,screening area,
ne-medical-center,NE MEDICAL CENTER,screening area,
no-subdivision,NO SUBDIVISION,screening area,
north-carolina-railroad,NORTH CAROLINA RAILROAD,screening area,
northlight,NORTHLIGHT,screening area,
overbrook,OVERBROOK,screening area,
plat-103-590-ac-kannapolis-pkwy,PLAT 103.590 AC - KANNAPOLIS PKWY,screening area,
poplar-tent-west,POPLAR TENT WEST,screening area,
